date,source_file,weather_system,subdivisions,region,region_original,height_km,pressure_level,status
2025-06-07,AIWS 20250607.docx,CYCIR,West Rajasthan,northwest Rajasthan & neighbourhood,,0.9,925 hPa,persisted
2025-06-07,AIWS 20250607.docx,CYCIR,West Uttar Pradesh,northwest Uttar Pradesh & neighbourhood,,1.5,850 hPa,persisted
2025-06-07,AIWS 20250607.docx,Trough,Vidarbha ; North Interior Karnataka,at 1.5 km above m. s. l. from east Vidarbha to north interior Karnataka,,1.5,850 hPa,
2025-06-07,AIWS 20250607.docx,Trough,East Rajasthan,at 5.8 km above m. s. l. from Long. 59°E to the north of Lat. 27°N.,,5.8,500 hPa,
2025-06-07,AIWS 20250607.docx,CYCIR,Assam & Meghalaya,northeast Assam & neighbourhood,,0.9,925 hPa,persisted
2026-05-02,AIWS 20260502.docx,Trough,,along Long. 60°E to the north of Lat. 32°N in middle tropospheric westerlies,,1.5,850 hPa,
2026-05-02,AIWS 20260502.docx,CYCIR,Punjab,over north Punjab & neighbourhood,,0.9,925 hPa,persisted
2026-05-02,AIWS 20260502.docx,CYCIR,Gangetic West Bengal ; Bangladesh,over Gangetic West Bengal & adjoining Bangladesh,,1.5,850 hPa,
2026-05-02,AIWS 20260502.docx,Trough,,aloft between 4.5 & 9.4 km above m. s. l.,,7.6,400 hPa,
2026-05-02,AIWS 20260502.docx,CYCIR,West Rajasthan,over west Rajasthan & neighbourhood,,0.9,925 hPa,persisted
2026-05-02,AIWS 20260502.docx,Trough,West Rajasthan ; East Rajasthan ; Madhya Pradesh ; Vidarbha ; Telangana ; Rayalaseema ; Tamil Nadu,"north-south from above the cyclonic circulation over west Rajasthan to Comorin area across East Rajasthan, Madhya Pradesh, Vidarbha, Telangana, Rayalaseema and interior Tamil Nadu",,0.9,925 hPa,
2026-05-02,AIWS 20260502.docx,Trough,Madhya Pradesh ; Chhattisgarh ; Jharkhand ; West Bengal ; Bangladesh ; Assam,"east-west from northeast Madhya Pradesh to Manipur across Chhattisgarh, Jharkhand, West Bengal, Bangladesh and south Assam",,0.9,925 hPa,
2026-05-02,AIWS 20260502.docx,Trough,,aloft with its axis at 7.6 km above m. s. l.,,7.6,400 hPa,persisted
2025-06-11,AIWS 20250611.docx,CYCIR,Andhra Pradesh,westcentral Bay of Bengal off north coastal Andhra Pradesh coast and extended upto 5.8 km above m. s. l.,,5.8,500 hPa,
2025-06-11,AIWS 20250611.docx,Trough,Rajasthan ; Madhya Pradesh ; Chhattisgarh,"from northeast Rajasthan to the upper air cyclonic circulation over westcentral Bay of Bengal across Madhya Pradesh, Chhattisgarh at 0.9 km above m. s. l.",,0.9,925 hPa,
2025-06-11,AIWS 20250611.docx,CYCIR,Uttar Pradesh,central parts of south Uttar Pradesh lay over southeast Uttar Pradesh & neighbourhood today morning and extended upto 1.5 km above m. s. l.,,1.5,850 hPa,
2025-06-11,AIWS 20250611.docx,CYCIR,Haryana,north Haryana & Chandigarh at 0.9 km above m. s. l.,,0.9,925 hPa,
2025-06-28,AIWS 20250628.docx,CYCIR,Saurashtra & Kutch,Saurashtra & Kutch & adjoining northeast Arabian sea,,7.6,400 hPa,extended
2025-06-28,AIWS 20250628.docx,CYCIR,Gangetic West Bengal,southwest Bangladesh & adjoining Gangetic West Bengal,,4.5,600 hPa,persisted
2025-06-28,AIWS 20250628.docx,Trough,Southwest Rajasthan ; Bangladesh,east-west trough from southwest Rajasthan to Bangladesh,,3.1,700 hPa,ran
2025-06-28,AIWS 20250628.docx,CYCIR,Assam & Meghalaya,northeast Assam at 0.9 km above m. s. l.,,0.9,925 hPa,
2026-05-19,AIWS 20260519.docx,WD,Northwest India,over north Iran & neighbourhood,,5.8,500 hPa,persisted
2026-05-19,AIWS 20260519.docx,CYCIR,"Haryana, Chandigarh & Delhi",over northeast Uttar Pradesh & adjoining Bihar,,1.5,850 hPa,persisted
2026-05-19,AIWS 20260519.docx,Trough,North India,aloft in middle tropospheric westerlies with its axis at 5.8 km above m. s. l.,,5.8,500 hPa,
2026-05-19,AIWS 20260519.docx,Trough,East India,from the cyclonic circulation over northeast Uttar Pradesh & adjoining Bihar to south Assam at 0530 hrs IST of today morning,,0.9,925 hPa,
2026-05-19,AIWS 20260519.docx,Trough,East India,from the cyclonic circulation over East Uttar Pradesh & neighbourhood to Manipur across north Gangetic West Bengal and Bangladesh at 0530 hrs IST of today morning,,0.9,925 hPa,
2026-05-19,AIWS 20260519.docx,Trough,Central India,"from the West Madhya Pradesh to Lakshadweep area across Madhya Maharashtra, Marathwada, Interior Karnataka & Kerala and extends upto 1.5 km above m. s. l.",,1.5,850 hPa,
2026-05-19,AIWS 20260519.docx,CYCIR,East India,over south Coastal Andhra Pradesh & neighbourhood between 3.1 & 5.8 km above m. s. l.,,5.8,500 hPa,persisted
2026-05-19,AIWS 20260519.docx,Trough,East India,"from southeast Arabian Sea adjoining south Lakshadweep area to the cyclonic circulation over south Coastal Andhra Pradesh across Kerala, South Interior Karnataka and Rayalaseema between 3.1 & 5.8 km above m. s. l.",,5.8,500 hPa,persisted
2026-05-19,AIWS 20260519.docx,CYCIR,East India,over central Assam at 1.5 km above m. s. l.,,1.5,850 hPa,
